단어,뜻
social [sóuʃəl],사회적인
prevent [privént],"막다, 방해하다"
proper [prάpǝr],적절한
rent [rent],"빌리다, 빌려주다"
leap [liːp],"뛰어오르다, 도약하다"
wool [wul],"양털, 양모"
contact [kάntækt],"접촉, 접촉하다; 연락, 연락하다"
track [træk],"자국, 흔적; 추적하다"
deal [diːl],"다루다, 처리하다; 거래, 타협"
vegetable [védʒətǝbəl],"채소, 푸성귀"
soon [suːn],곧
harvest [hάːrvist],수확하다
route [ruːt],"길, 경로"
station [stéiʃən],"역, 정거장"
sunset [sʌ́nsèt],"일몰, 해질녘"
gentle [dʒéntl],"온화한, 부드러운"
monk [mʌŋk],"스님, 수도승"
communication [kǝmjùːnǝkéiʃən],"의사소통, 통신"
plant [plænt],공장; 식물; ~를 심다
average [ǽvəridʒ],평균
step [step],"걸음, 걷다"
shade [ʃeid],그늘
shadow [ʃǽdou],그림자
state [steit],"상태; 지위, 신분"
period [píəriǝd],"기간, 주기"
regular [régjǝlǝr],"규칙적인, 정기적인"
lower [lóuǝr],"낮추다, 떨어뜨리다"
blow [blou],"불다, 부풀리다, 날리다; 망치다"
risk [risk],"위험; 위험을 무릅쓰다, 감행하다"
hopeful [hóupfǝl],희망찬
basis [béisis],"기초, 토대"
base [beis],"기초, 근본; (작전) 기지"
brick [brik],벽돌
task [tæsk],"과제, 일"
military [mílitèri],군사의
moreover [mɔːróuvǝr],게다가
price [prais],가격
bend [bend],굽히다
report [ripɔ́ːrt],보고하다
appeal [ǝpíːl],"호소하다, 간청하다; 매력"
fable [féibəl],우화
shame [ʃeim],"부끄러움, 수치"
pill [pil],알약
erase [iréis],지우다
option [άpʃən],선택권
situation [sìtʃuéiʃən],"상황, 정세"
kindergarten [kíndǝrgὰːrtn],유치원
pack [pæk],"짐 싸다, 포장하다; 꾸러미, 보따리"
spin [spin],"돌리다, 회전시키다"
carnival [kάːrnǝvəl],"(가톨릭교의) 축제, 제전"
