단어,뜻
indisposed [?nd?spo?zd],~하는 것이 내키지 않는;몸[기분]이 안 좋은
gruging [?r?d??ŋ],마지못해 주는[하는]
remit [r?m?t],송금하다;(부채·의무·처벌 등을) 면제해 주다;소관
forward [f?ːrw?rd],(이사 간 사람에게 배달된 편지 등을 새 주소로) 다시 보내 주다;(물건·정보를) 보내다[전달하다]
wire [wa??(r)],(전자 시스템을 이용하여 은행에서 다른 은행으로) 송금하다
remission [r?m??n],(지불해야 할 돈의) 감면[면제];(특히 모범수에 대한) 감형;(병의) 차도
remittance [r?m?tns],송금액;송금
remiss [r?m?s],태만한
remorse [r?m?ːrs],회한
compunction [k?mp?ŋk?n],죄책감(으로 인한 망설임)
qualm [kw?ːm;kw?ːm],"거리낌, 꺼림칙함"
repetance [r?pent?ns],"뉘우침, 회개, 후회"
contrition [k?ntr??n],"뉘우침, 회개"
remote [r?mo?t],"외진, 외딴"
sequestered [s?kwest?rd],"외딴, 한적한"
insulated [?ns?le?t?d],절연[단열/방음] 처리가 된
bygone [ba???ːn;ba???ːn],"지나간, 옛날의"
aloof [?luːf],냉담한
agnate [??neit],"부계(父系)의, 동족[동종]의"
cognate [k?ː?ne?t],"어원[어족]이 같은;관련이 있는, 유사한"
remuneration [r??mjuːn?re??n],보수
remunerate,보수를 지불하다
remunerative [r?mjuːn?r?t?v],보수가 많은
requite [r?kwa?t],"보답하다,  (애정에 대해) 반응을 보이다"
requital [rikw?itl],"보답, 보상;보복, 복수, 벌"
repel [r?pel],격퇴하다[물리치다];혐오감[역겨움]을 느끼게 하다
repellent,"역겨운, 혐오감을 주는;방충제, 방수제"
dispel [d?spel],"불식시키다, 없애다"
ward off,"피하다, 물리치다"
fend off,"(공격을) 피하다, 막아내다"
drive off,물리치다;떠나다
parry [pæri],"(공격하는 무기를) 쳐내다, 막다"
repulse [r?p?ls],"구역질나게 하다, 혐오감을 주다;물리치다, 거부하다"
dissipate [d?s?pe?t],"소멸되다,  소멸하다[시키다];허투루 쓰다[낭비하다]"
horrify [h?ːr?fa?;h?ːr?fa?],몸서리치게[소름끼치게] 만들다
nauseate [n?ːzie?t;n?ːsie?t],역겹게 하다
repercussion [riːp?rk??n],"파급력, 반향[사후 영향]"
replenish [r?plen??],"(원래처럼) 다시 채우다, 보충하다"
restock [riːst?ːk],(매대 등에 새 것을) 다시 채우다
reload [riːlo?d],"(총) 재장전하다, (필름) 다시 집어넣다"
reproach [r?pro?t?],"비난, 책망,  (실망하여) 책망하다;치욕, 창피(스러운 것),  자책하다"
above reproach [r?pro?t?],"나무랄 데 없는, 탓할 곳이 없는."
reproachable [r?pro?t?],나무랄 만한
reproachful [r?pro?t?fl],비난[책망]하는 (듯한)
censure [sen??(r)],"견책, 불신임,  견책[질책]하다"
rebuke [r?bjuːk],"힐책[질책]하다, 꾸짖다,  야단"
reprove [r?pruːv],"나무라다, 꾸짖다, 책망하다"
upbraid [?pbre?d],"질책하다, 호되게 나무라다"
take offense at,…에 기분이 상하다.
ignominy [??n?m?ni],"불명예, 수치"
resentment [r?zentm?nt],"분함, 억울함, 분개"
umbrage [??mbrid?],"분하게 여김, 불쾌, 분개"
pique [piːk],(자존심이 상해 느끼는) 불쾌감[언짢음];불쾌하게[언짢게] 하다
vehemence [v?:?m?ns(i)],"격렬, 맹렬(violence),  열의, 열정"
resolve [r?z?ːlv],(문제 등을) 해결하다;(굳게)결심[결의(決意)]하다;(단호한) 결심[결의/의지]
work out [w?ːrka?t],(일이) 잘 풀리다[좋게 진행되다]
unravel [?nrævl],"(뜨개질한 것·엉클어진 것·매듭 등을) 풀다;(난제 등) 풀다, 풀리다;(이야기) 풀어내다"
waver [we?v?(r)],"결정[선택]을 못 하다, 망설이다;(불안하게) 흔들리다"
restrain [r?stre?n],"(특히 물리력으로) 저지[제지]하다,  (문제가 커지지 않게) 억제하다;(감정 등을) 억누르다[참다]"
restrain oneself,(감정 등을) 억누르다[참다]
subdue [s?bduː],진압하다;(감정을) 가라앉히다[억누르다]
constrain [k?nstre?n],(v … to-v) …하게 만들다[강요하다][←어떤 일만 하도록 제한하다];(v … from ~ing) ~에게 (하지 못하도록) 제한하다
unbridled [?nbra?dld],억제되지 않은
go off the deep end,"버럭 화 내다, 욱[울컥]하다"
resume [r?zuːm],"재개하다[되다], 다시 시작하다[되다];자기 좌석/자리/위치로 (다시) 돌아가다"
recommence [?riːk?mens],"다시 시작되다[하다], 재개되다[하다]"
to resume [r?zuːm],얘기를 계속하자면
resumption [r?z?mp?n],재개
resuscitate [r?s?s?te?t],(인공호흡법 등으로) 소생시키다
bring round,~가 의식을 되찾게 하다
quicken [kw?k?n],"빨라지다,  더 빠르게 하다;더 활발해지다[활발하게 하다]"
reurrect [?rez?rekt],부활시키다
revivify [riːv?v?fa?],새 생명[새로운 활기]을 불어넣다
retain [r?te?n],(계속) 유지[보유]하다
retainment [r?te?n],"보유, 유지,  고용."
retention [r?ten?n],(어떤 것을 잃지 않는) 보유[유지];기억(력)
retentive [r?tent?v],잘 잊지 않는
retaliate [r?tælie?t],"보복하다, 앙갚음하다(fight back)"
retaliatory [r?tæli?t?ːri],보복적인
get even with,…에 앙갚음하다
requite [r?kwa?t],"보답하다,  (애정에 대해) 반응을 보이다"
retribution [?retr?bjuː?n],(강력한) 응징[징벌]
vengeance [vend??ns],"복수, 앙갚음"
retard,(발전·진전을) 지연[지체]시키다
stunt [st?nt],성장[발달]을 방해[저해]하다
retardation [riːt?ːrde??n],(성장) 지연
tardy [t?ːrdi],"느린, 더딘,  (도착 등이) 늦은[지체된]"
belated [b?le?t?d],뒤늦은
retrieve [r?triːv],(제자리가 아닌 것을) 되찾아오다(get back);(사태를) 수습하다;(정보를) 검색하다
salvage [sælv?d?],"(배) 인양하다 인양,  (사고에서 재산을) 구조하다,  구조 물품;(손상된 평판·자존심을) 지키다[회복하다]"
recoup [r?kuːp],(쓰거나 분실한 돈을) 되찾다[회복시키다/만회하다]
recapture [?riːkæpt??(r)],"탈환하다;(과거) 되찾다, 되살리다"
retrospect [r?tr?sp?kt],"회고[추억]하다,  회상에 잠기다 ((on));회상, 회고, 추억, 회구(懷舊)(opp. prospect)"
retrospective [?retr?spekt?v],(화가의) 회고전
reminisce [?rem?n?s],"(행복했던 시절에 대한) 추억에 잠기다, 추억담을 나누다"
reminiscence [?rem?n?sns],(비슷한 다른 것을) 연상시키는 것
"anamnesis [æ?næmn?:sis,æ?n?m-]","추억, 회상(recollection)"
remembrance [r?membr?ns],"추모, 추도, 추억"
reveal [r?viːl],(비밀 등을) 드러내다[밝히다/폭로하다]
come as a revelation,(~에게) 전혀 뜻밖의 일이다
revealed religion [r?viːl],계시 종교(신의 계시를 인정하는 종교)
revealing [r?viːl?ŋ],"드러내는, 보여 주는;노출이 심한"
revere [r?v?r],숭배하다
venerate [ven?re?t],공경[숭배]하다
reverend [rev?r?nd],목사
reverent [rev?r?nt],숭배하는
reverential [?rev?ren?l],숭배심이 넘치는
inrrevernce [ir?v?r?ns],"불경, 불손한 언행"
impiety [imp?i?ti],"신앙심이 없음, 경건하지 않음;불경, 불손, 무례"
revision [r?v??n],"수정[정정] (사항), 검토;시험공부"
alteration [??ːlt?re??n],"변화, 개조"
revisonary,"교정의, 개정의."
revamp [?riːvæmp],(보통 더 보기 좋도록) 개조[수리]하다
renovate [ren?ve?t],(낡은 건물·가구 등을) 개조[보수]하다
roam [ro?m],"(이리저리) 돌아다니다, 배회하다;(시선) 천천히 훑다[더듬다]"
wander [w?ːnd?(r)],"(이리저리 천천히) 거닐다, 돌아다니다, 헤매다;굽이지다;(다른 데로) 쏠리다[팔리다]"
rove [ro?v],방랑하다;(눈이) 두리번거리다
meander [miænd?(r)],(특히 특별한 목적 없이 이리저리) 거닐다;두서없이 진행되다;구불구불하다
ramble [ræmbl],"(특히 전원 속을) 걷다[거닐다/소요하다];(재미 삼아 오래) 걷기, 긴 산책, 소요(逍遙);(오랫동안) 횡설수설하다[지껄이다];(다른 식물·사물 위로) 사방으로 뻗어 나가다;"
saunter [s?ːnt?(r)],한가로이[느긋하게] 걷다
prowl [pra?l],(특히 먹이를 찾아 살금살금) 돌아다니다;(특히 범행 대상을 찾아) 돌아다니다[배회하다]
loaf [lo?f],빈둥[어정]거리다;(모양을 만들어 한 덩어리로 구운) 빵 한 덩이
