단어,뜻
consist [kǝnsíst],구성되다(of); 존재하다(in)
contain [kǝntéin],"담고 있다, 포함하다"
compose [kǝmpóuz],조립하다; 구성하다; 작곡하다
conductor [kǝndʌ́ktǝr],"지휘자, 안내자; 전도체"
explore [iksplɔ́ːr],탐험하다
cotton [kάtn/kɔ́tn],"면, 직물"
stadium [stéidiǝm],경기장
impolite [ìmpǝláit],무례한
accept [æksépt],받아들이다
refuse [rifjúːz],거절하다
athlete [ǽθliːt],운동선수
instead [instéd],대신에
island [áilǝnd],섬
serious [síəriǝs],"심각한, 중대한; 진지한, 근엄한"
participate [pɑːrtísǝpèit],참가하다
slave [sleiv],노예
valuable [vǽljuːǝbəl],귀중한
label [léibəl],"상표, 꼬리표; 상표를 붙이다"
pole [poul],"(지구의) 극; 막대기, 장대"
sink – sunk - sunken [siŋk],가라앉다
standard [stǽndǝrd],"표준, 규격"
deed [diːd],"행위, 소행"
indeed [indíːd],정말로
journey [dʒə́ːrni],"여정, 여행"
suitcase [súːtkèis],여행가방
following [fάlouiŋ],"다음의, 이후의"
revival [riváivəl],"소생, 부활, 부흥"
solar [sóulǝr],태양의
fuel [fjúːǝl],연료
include [inklúːd],포함하다
comedy [kάmǝdi],희극
attitude [ǽtitjùːd],태도
whistle [hwísəl],휘파람
whisper [hwíspǝr],속삭이다
liberty [líbǝrti],자유
passport [pǽspɔ̀ːrt],여권
pigeon [pídʒǝn],비둘기
reason [ríːzən],이유; 이성
certain [sə́ːrtən],확실한; 어떤
series [síəriːz],"연속물, 일련, 계열"
international [ìntǝrnǽʃǝnəl],국제적인
childhood [tʃáildhùd],"어린 시절, 유년기"
lock [lɑk/lɔk],잠그다
dawn [dɔːn],"새벽, 동틀 녘"
trade [treid],"무역, 거래, 교환"
household [háushòuld],가정
devote [divóut],"바치다, 헌신하다"
thermometer [θǝrmάmitǝr],온도계
worth [wǝːrθ],~의 가치가 있는
plenty [plénti],"많은, 충분한"
