단어,뜻
comic [kάmik],"우스운, 희극의"
unique [juːníːk],"독특한, 고유의"
unity [júːnǝti],"통합, 통일, 조화"
unification [jùːnǝfikéiʃən],"통일, 통합"
architecture [άːrkǝtèktʃǝr],"건축, 건축물, 건축술, 건축학"
sudden [sʌ́dn],갑작스러운
religion [rilídʒən],종교
throw [θrou],던지다
flat [flæt],평평한
select [silékt],"고르다, 선발하다"
population [pὰpjǝléiʃən],인구
suburb [sʌ́bǝːrb],"교외, 도시 외곽"
rural [rúərǝl],"시골의, 전원의"
outdoor [áutdɔ̀ːr],야외의
teenager [tíːnèidʒǝr],십대
blame [bleim],비난하다
ideal [aidíːəl],이상적인
swing [swiŋ],흔들다
burden [bə́ːrdn],"부담, 무거운 짐; 짐을 지우다"
duty [djúːti],"임무, 의무, 본분"
react [riːǽkt],반응하다
fierce [fiǝrs],"사나운, 흉포한"
compete [kǝmpíːt],"경쟁하다, 겨루다"
competitive [kǝmpétǝtiv],경쟁적인
competition [kὰmpǝtíʃən],"대회, 경쟁, 경기"
opinion [ǝpínjǝn],의견
licence [láisəns],면허
truth [truːθ],"진실, 사실"
stream [striːm],"개울, 시내"
clap [klæp],손뼉 치다
rare [rεǝr],"드문, 진기한"
rarely [rέǝrli],"거의~않는, 드물게"
hardly [hάːrdli],거의 ~가 아니다
tiny [táini],아주 작은
prison [prízn],감옥
steal [stiːl],훔치다
crime [kraim],범죄
clue [kluː],단서
robber [rάbǝr],강도
thief [θiːf],도둑
terrific [tǝrífik],"빼어난, 대단한, 멋진"
terrible [térǝbəl],끔찍한
terribly [térǝbli],"몹시, 심하게"
terror [térǝr],공포; 테러
classic [klǽsik],"고전의; 걸작의, 모범적인; 전형적인"
witty [wíti],재치 있는
such [sʌtʃ],"그런, 그러한"
degree [digríː],정도
relate [riléit],관련짓다
relative [rélǝtiv],"상대적인; 친척, 인척"
